"id","label","layer","maturity","traditions","domains","lifespan_stages","functions","grain_size","summary","mechanism","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","effect","recommendation_status","recommendation_rationale","source_ids","source_locators","tags","provenance"
"pedagogy:cognitive-load-theory","Cognitive load theory","theory","consolidating","cognitive","general","cross-lifespan","explain | sequence","lesson","Learning is limited by a narrow working memory operating on an effectively unlimited long-term store, so instruction should manage what working memory must hold.","Novel information is processed in a capacity-limited working memory; schemas retrieved from long-term memory act as single chunks, so building and retrieving schemas is what raises effective capacity.","novel concept learning | problem solving | instructional material design","instructional materials | interfaces | initial instruction","An identified novel element-interactivity load | Knowledge of learner prior schemas","Load categories are inferred, not directly observed | Element interactivity, not topic difficulty, drives intrinsic load | Measures of load and of learning must be collected separately","Using the theory to justify removing all challenge | Treating self-reported effort as a load measurement | Assuming a design that helps novices helps experts","Load-sensitive performance change; measure=Delayed post-test plus a secondary-task or subjective load measure; timing=During practice and after a delay; caveat=Low reported effort can mean disengagement rather than efficiency","context-dependent","moderate","A long-standing theory with many supported instructional effects, but core constructs remain hard to measure independently and some subclaims are contested.","mixed-direct-and-inferential","Strongest for novel, high element-interactivity material with novice learners.","","contextual-option","Use as a design lens for novel material; do not use its vocabulary as evidence that a given design worked.","source:sweller-1988 | source:cognitive-load | source:paas-vanmerrienboer-2020","","theory | working-memory | design","new"
"pedagogy:computational-thinking-transfer","Transfer from programming to other thinking skills","construct","consolidating","cognitive","computing | general","primary | middle | secondary | postsecondary","transfer","program-system","Programming instruction transfers moderately to near cognitive skills such as creative and mathematical thinking, and much less to distant ones such as general literacy.","Overlap in required representations and reasoning explains near transfer; distant skills share too little structure for transfer to occur.","curriculum justification | outcome claims for coding programmes","computing classroom | policy | programme evaluation","Pre-specified transfer distance and measures","Transfer decreases sharply with distance | Published claims frequently exceed the evidence | Study quality varies widely","Justifying coding curricula by general thinking gains | Measuring transfer with near-identical tasks | Displacing subjects on an unsupported transfer promise","Transfer by pre-specified distance; measure=Separate near and far measures specified before the study; timing=Post-programme and at delay; caveat=Undeclared transfer distance makes a result uninterpretable","context-dependent","moderate","Meta-analysis finds a moderate overall transfer effect that declines markedly with transfer distance.","direct-intervention","Programming interventions across school ages.","metric=g; value=0.49; note=Overall transfer estimate; substantially smaller for far transfer such as literacy.","do-not-generalize","Justify computing on its own merits; state transfer distance explicitly whenever transfer is claimed.","source:scherer-computational-thinking | source:transfer-taxonomy | source:cs-framework","","construct | computing | transfer | warning","new"
"pedagogy:computing-practices","Computational practices: decompose, abstract, test, refine, communicate","framework","consolidating","instructional-design | constructivist","computing","primary | middle | secondary","practice | transfer","program-system","Have learners recognize and decompose problems, develop abstractions and artifacts, test and refine them, and communicate design decisions and impacts.","Executable or inspectable artifacts make algorithms and representations testable; debugging supplies feedback for iterative model revision.","programming | data | systems | computational problem solving","K-12 computing | maker activity | introductory coding","Accessible tools | Examples and domain concepts | Explicit testing and debugging norms | Equitable participation structures","Assess reasoning and revision, not artifact completion alone | Include sociotechnical impacts and accessibility","Code production masking misconceptions | Nominal group work masking unequal participation | Treating a curricular framework as a causal intervention","Traceable computational reasoning and refinement; measure=Decomposition, abstraction, test cases, bug localization, revision, explanation, participation, and impact analysis; timing=Across artifact iterations and on a new problem; caveat=A working artifact can be copied or produced without conceptual understanding","context-dependent","moderate","Authoritative multi-organization curricular framework; intervention effectiveness depends on pedagogy and implementation.","consensus-design","K-12 computer science; adapt evidence for adult computing contexts.","","contextual-option","Use the practices to elicit inspectable reasoning, with examples, debugging feedback, accessibility, and individual evidence.","source:cs-framework | source:worked-examples-meta","","computing | debugging | artifact | collaboration","inherited"
"pedagogy:concept-mapping","Concept mapping and graphic organizers","tactic","established","cognitive | constructivist","general | science","primary | middle | secondary | postsecondary","consolidate | explain","micro-move","Constructing or studying node-link maps of relationships modestly improves learning relative to reading, but is weaker than retrieval practice for retention.","Explicit relational structure supports organization and retrieval cues; making relations visible exposes missing links.","relational understanding | review | knowledge organization","study strategies | classroom | note-taking","Content with genuine relational structure | Some training in map conventions","Effect is modest and depends on map quality | Map-making time competes with retrieval practice | A tidy map can be copied without understanding","Substituting map aesthetics for reasoning | Choosing mapping over retrieval when retention is the goal | Assuming the map represents the learner's actual model","Relational accuracy and later performance; measure=Map scoring against an expert structure plus delayed comprehension or transfer items; timing=After construction and at delay; caveat=Map completeness overstates understanding","context-dependent","moderate","Meta-analysis shows small-to-moderate advantages over reading or lecture; a direct comparison found retrieval practice superior for retention.","direct-intervention","Broad across ages and subjects for relational content.","metric=d; value=0.35; note=Versus reading or attending lectures; smaller versus other constructive activities.","contextual-option","Good for making structure explicit; do not use it in place of retrieval practice for retention goals.","source:nesbit-concept-mapping | source:karpicke-blunt","","tactic | representation | knowledge | consolidation","new"
"pedagogy:conceptual-change","Conceptual change and misconception refinement","theory","consolidating","constructivist | cognitive","science | mathematics | general","primary | middle | secondary | postsecondary","diagnose | explain | transfer","unit-course","Learners arrive with existing explanatory ideas that are productive resources as often as obstacles, and instruction must engage them rather than overwrite them.","New conceptions are adopted when learners find the existing one inadequate and the new one intelligible, plausible, and fruitful; fine-grained intuitive resources are reorganized rather than deleted.","science concept learning | misconception diagnosis | explanation building","classroom | tutoring | adaptive software | diagnostic assessment","Elicitation of the learner's current explanation | A discrepant case or evidence the current idea cannot handle | Time for reorganization","Persistent conceptions rarely change in one lesson | Correct answers can coexist with the old model | Treating intuitions as pure error discards usable resources","Publicly labelling a learner's idea as wrong | Assuming a single refutation lesson settles it | Confusing terminology adoption with model change","Explanation change under new cases; measure=Pre/post explanation coding, discrepant-case prediction, and transfer to unfamiliar contexts; timing=Across a unit and after a delay; caveat=Learners often revert on unfamiliar surface contexts","context-dependent","moderate","A large theoretical and empirical literature with competing accounts of what changes; instructional payoff depends on elicitation and follow-through.","mixed-direct-and-inferential","Best evidenced in physical science and mathematics topics with well-documented conceptions.","","contextual-option","Elicit before correcting, treat intuitions as resources, and measure explanation change rather than answer change.","source:posner-conceptual-change | source:vosniadou-conceptual-change | source:smith-misconceptions | source:science-framework","","theory | science | misconception | diagnostic","new"
"pedagogy:conceptual-procedural-iteration","Iterative development of conceptual and procedural knowledge","principle","established","cognitive | developmental","mathematics | science","primary | middle | secondary","sequence | explain | practice","unit-course","Conceptual understanding and procedural skill develop iteratively and reinforce each other; neither reliably comes first.","Gains in concepts improve procedure selection and adaptation, while practising procedures creates material for conceptual reflection.","arithmetic and algebra learning | curriculum sequencing | diagnosis of shallow procedures","classroom | adaptive software | intervention","Separate measurement of conceptual and procedural knowledge","Neither ordering is universally correct | Procedural fluency without concepts produces brittle, unadaptable performance | Measures of the two are hard to fully separate","Concepts-first or procedures-first dogma | Reading fluent procedures as understanding | Teaching procedures with no conceptual anchoring","Both knowledge types tracked over time; measure=Separate conceptual and procedural measures administered repeatedly; timing=Across a unit and beyond; caveat=Correct answers can come from unadapted memorized procedures","strong","high","Longitudinal and experimental studies establishing bidirectional relations, consistent with national mathematics-learning syntheses.","direct-intervention","Best evidenced in arithmetic, fractions, and equation solving.","","candidate-default-with-fit-check","Interleave concept and procedure work and measure both; do not sequence on ideology.","source:rittle-johnson-iterative | source:adding-it-up | source:math-intervention-wwc","","principle | mathematics | sequence | diagnostic","new"
"pedagogy:concrete-abstract-linking","Concrete-to-abstract representation linking","tactic","consolidating","cognitive | developmental","mathematics | science","preschool | primary | middle | secondary","explain | transfer","lesson","Explicitly connect concrete, visual, verbal, and symbolic representations of the same concept and explain what each preserves or hides.","Mapping across forms can ground abstract relations and later make structure available without dependence on one surface form.","mathematics | science models | concept formation","classroom | interactive artifact","Representations that encode the same target relation | Explicit comparison or mapping","Limit simultaneous representations | Fade perceptual detail when it distracts from structure","Treating manipulatives as self-explanatory | Switching among unrelated models | Learners attend to surface features","Bidirectional mapping and structure preservation; measure=Explain correspondence, translate among forms, and solve a new-form task; timing=During comparison and after representation change; caveat=Correct manipulation without symbolic or conceptual mapping is insufficient","context-dependent","moderate","Institutional practice guides rate connected concrete-abstract representations positively, while design and learner knowledge moderate outcomes.","direct-intervention","Best established in mathematics and structured concepts.","","contextual-option","Retrieve only with an explicit mapping task and a plan to test transfer across forms.","source:ies-study | source:math-intervention-wwc","","representation | mathematics | concept | transfer","inherited"
"pedagogy:contextual-interference","Contextual interference in motor skill practice","principle","established","cognitive | behavioral","physical-motor | music | health | professional-workplace","cross-lifespan","practice | consolidate | transfer","lesson","Random practice ordering depresses performance during acquisition but produces better retention and transfer than blocked practice.","Switching between tasks forces reconstruction of the movement plan on each trial rather than reusing the one already in working memory.","motor skill acquisition | clinical procedure training | instrument practice","training | clinical simulation | sports practice | music practice","Multiple related skills to interleave | Enough initial competence to attempt each","It reliably worsens acquisition-phase performance | Effects are smaller for very novice learners and complex skills | Requires delayed retention measurement to detect the benefit","Abandoning it because practice looks worse | Applying it before any skill is minimally established | Judging training by session performance","Acquisition versus retention divergence; measure=Practice-phase performance compared against delayed retention and transfer tests; timing=During practice and after days; caveat=The better practice condition looks worse during practice","strong","high","A classic and widely replicated motor-learning effect, and one of the clearest demonstrations of the learning-performance distinction.","direct-intervention","Motor domains broadly; smaller with very complex skills or complete novices.","","candidate-default-with-fit-check","Use once minimal competence exists, and evaluate only on delayed retention.","source:shea-morgan-contextual | source:soderstrom-bjork | source:interleaving-meta","","principle | physical-motor | practice | retention","new"
"pedagogy:contingent-scaffolding","Contingent scaffolding with fading","tactic","consolidating","sociocultural | cognitive","general","cross-lifespan","explain | practice","lesson","Provide support contingent on current evidence, reduce it as competence grows, and transfer responsibility to the learner.","Temporary prompts, models, representations, or task simplifications keep the target operation possible while preserving a path to independent performance.","novel complex task | strategy acquisition | guided practice","one-to-one | small group | adaptive software","A diagnosis of the current bottleneck | A support hierarchy and an independent target performance","Support must be contingent, faded, and responsibility-transferring | Check unassisted performance","Permanent prompting and learned dependence | Giving answers while preserving only superficial activity","Declining assistance with stable or improving performance; measure=Hint level, independent completion, explanation, and transfer task; timing=Across attempts and after support removal; caveat=Success while a scaffold is visible is not evidence of independent learning","context-dependent","moderate","Systematic review identifies contingency, fading, and transfer of responsibility as defining features; enactment quality varies.","mixed-direct-and-inferential","Broad across instruction, but the scaffold must fit the domain and current evidence.","","contextual-option","Useful when an observed bottleneck can be supported without replacing the target cognitive work.","source:scaffolding-review | source:hpl2","","general | support | adaptive | independence","inherited"
"pedagogy:contrasting-cases-invention","Contrasting cases and invention before instruction","tactic","consolidating","constructivist | cognitive","mathematics | science | general","middle | secondary | postsecondary","transfer | practice | explain","lesson","Having learners invent an account of carefully contrasted cases before being told the canonical solution prepares them to learn from the subsequent explanation.","Attempting invention differentiates the features that matter, so the later explanation lands on a prepared discrimination rather than on undifferentiated novelty.","quantitative concept introduction | deep-feature discrimination | transfer preparation","classroom | tutoring | instructional materials","Case sets engineered to contrast on the target feature | A guaranteed consolidation phase afterwards | Tolerance for initial failure","The invention phase must be followed by explicit instruction | Effects appear on transfer measures more than on routine ones | Requires careful case engineering; arbitrary examples do not work","Omitting the consolidation and leaving inventions unresolved | Judging the phase by the quality of the invention | Using it with learners lacking the needed prerequisites","Preparation for future learning; measure=Transfer and learning-from-resource measures, not just routine post-tests; timing=After consolidation and at delay; caveat=Routine post-tests often show no advantage even when transfer does","context-dependent","moderate","Controlled studies plus the productive-failure meta-analysis support a generate-then-consolidate sequence for conceptual and transfer outcomes.","direct-intervention","Mathematics and science concepts with engineered contrasting cases.","","contextual-option","Use where transfer is the goal and consolidation is guaranteed; the contrasting-case design is the active ingredient.","source:schwartz-martin-invention | source:productive-failure-meta","","tactic | transfer | generation | comparison","new"
"pedagogy:cooperative-structures","Structured cooperative learning designs","method","established","sociocultural | motivational-social","general | science | mathematics","primary | middle | secondary | postsecondary","collaborate | practice | climate","lesson","Cooperative designs that build positive interdependence and individual accountability outperform competitive and individualistic structures on achievement and relationships.","Interdependence makes each member's contribution necessary while individual accountability prevents free-riding, so explanation and coordination actually occur.","group problem solving | concept discussion | project division","classroom | small group | laboratory","A task that genuinely needs multiple contributors | Individual accountability mechanism | Explicit cooperative skills instruction","Group work without interdependence and accountability is not cooperative learning | Status and language differences shape who participates | Group products conceal individual understanding","Free-riding and status-based exclusion | Grading the group and inferring individual mastery | Assuming collaboration suits every task","Equitable participation with individual learning; measure=Individual post-tests plus participation and talk-time distribution; timing=During and after the unit; caveat=A polished group product can hide non-participation","strong","high","Large meta-analytic literature across ages showing cooperative structures outperform competitive and individualistic ones when the defining conditions are present.","direct-intervention","Robust across ages and subjects when interdependence and accountability are implemented.","metric=d; value=0.5; note=Adolescent achievement estimates around 0.46; STEM small-group estimates around 0.5.","candidate-default-with-fit-check","Use when the task needs multiple contributors; enforce interdependence, accountability, and individual assessment.","source:johnson-cooperative | source:roseth-cooperative | source:springer-small-group | source:collaboration-meta","","method | collaboration | equity | accountability","new"
"pedagogy:curriculum-based-measurement","Curriculum-based measurement and progress monitoring","measure","established","psychometric | behavioral","assessment-measurement | literacy | mathematics | special-education","primary | middle | secondary","assess | diagnose | sequence","program-system","Brief, standardized, repeatable probes of curriculum-relevant performance provide a sensitive growth signal that supports instructional decisions.","Short equivalent-form probes administered frequently produce a growth slope, which is more decision-useful than isolated test scores.","intervention monitoring | instructional decisions | eligibility decisions","intervention | classroom | special education","Equivalent alternate forms | Frequent administration | Decision rules tied to the slope","Individual slope estimates need many data points to be stable | Probes index general outcome, not the specific skill taught | Decision rules are often applied with too few points","Changing instruction on noise | Teaching to the probe format | Using slope for high-stakes classification without adequate data","Growth slope with adequate data density; measure=Repeated equivalent probes with slope confidence, plus separate mastery measures; timing=Weekly or biweekly; caveat=Short data series produce unstable and misleading slopes","context-dependent","moderate","A long-established measurement approach with substantial technical-adequacy research; the sources cited here are foundational and standards documents rather than an effect synthesis.","mixed-direct-and-inferential","Primary and middle grades, especially reading and mathematics.","","candidate-default-with-fit-check","Use for growth decisions with enough data points to make a slope meaningful; keep it separate from mastery measurement.","source:deno-cbm | source:fuchs-rti | source:testing-standards","","measure | assessment | intervention | measurement","new"
"pedagogy:deeper-learning-competencies","Deeper learning and transferable competencies","framework","consolidating","cognitive | instructional-design","general","middle | secondary | postsecondary | adult-workplace","transfer | sequence","program-system","Valued competencies cluster into cognitive, intrapersonal, and interpersonal domains, and they develop through deep domain learning rather than as free-standing generic skills.","Transferable competence emerges when domain knowledge is learned with explicit attention to conditions of use, not from decontextualized skills training.","competency framework design | graduate outcome definition | transfer planning","curriculum design | program evaluation | workplace learning","A domain in which the competency is actually exercised | Assessment of the competency in use","Generic-skill instruction detached from content transfers poorly | Competency labels are not measurement | Interpersonal and intrapersonal constructs are harder to assess validly","Selling generic 'critical thinking' courses as transfer | Assessing competencies by self-report only | Displacing domain knowledge that transfer depends on","Competency demonstrated in a new domain task; measure=Performance assessment in an untaught context with rubric agreement checks; timing=End of unit and after a delay; caveat=Rubric scores can drift toward writing quality","context-dependent","moderate","A national consensus synthesis; supports domain-embedded development of competencies while cautioning that generic-skill transfer evidence is weak.","consensus-design","Framework-level guidance; specific programs need their own evidence.","","contextual-option","Adopt the domain-embedded stance and the three-domain vocabulary; require in-use assessment before claiming a competency.","source:education-life-work | source:transfer-taxonomy","","framework | transfer | competency | curriculum","new"
"pedagogy:delayed-transfer-assessment","Delayed, varied, and transfer-oriented assessment","tactic","established","psychometric | cognitive","assessment-measurement | general","cross-lifespan","assess | transfer","unit-course","Assess after delay, with changed surface features or context, and report near, far, cued, and uncued outcomes separately.","Delay reveals forgetting; variation tests whether knowledge is accessible beyond the practiced representation; uncued tasks test spontaneous recognition.","retention | generalization | workplace transfer","classroom | training | evaluation","Pre-specified retention horizon and transfer distance | Construct-aligned tasks | Comparable access conditions","Do not collapse near and far transfer | Report assistance and cueing | Use multiple observations for consequential claims","Equating immediate performance with learning | Claiming far transfer from isomorphic items | Ignoring maintenance and context support","Durable independent use; measure=Delayed retention, near/far task, representation change, uncued application, and maintenance; timing=At meaningful delayed intervals and in a new context; caveat=Transfer distance is multidimensional and must be described, not merely labeled","context-dependent","high","Learning and transfer syntheses establish delay, cueing, similarity, and context as material dimensions of the outcome.","mixed-direct-and-inferential","Across domains; valid task design remains domain-specific.","","candidate-default-with-fit-check","Use as the default verification complement to immediate performance when retention or transfer is claimed.","source:transfer-taxonomy | source:spacing-meta | source:assessment-nrc","","assessment | retention | transfer | measurement","inherited"
"pedagogy:deliberate-practice-bounds","Deliberate practice with bounded claims","tactic","disputed","cognitive | behavioral","music | physical-motor | professional-workplace","middle | secondary | postsecondary | adult-workplace","practice | feedback","program-system","Use specific stretch goals, focused repetitions, informative feedback, and error correction for stable decomposable skills—without claiming practice alone explains expertise.","Repeated attention to a well-defined weakness plus valid feedback supports error reduction and refinement.","stable decomposable skill | performance refinement","coaching | professional training | music | sport | technical skill","Valid performance standard | Reliable feedback or coaching | Manageable subskill | Recovery and motivation plan","Distinguish focused practice from rote repetition | Report access and opportunity differences","Burnout | Inequitable access to coaching | Overclaiming practice as the dominant cause of expertise | Narrow optimization harming transfer","Targeted objective performance improvement; measure=Error reduction, criterion performance, retention, transfer, and assistance needed over sessions; timing=Across spaced sessions and delayed check; caveat=Hours practiced are not equivalent to deliberate practice quality","contested","moderate","Meta-analysis supports practice as one contributor with sharply varying explained variance across domains, not a dominant universal account.","mixed-direct-and-inferential","Most plausible in stable domains with objective standards and coaching.","","do-not-generalize","Use the tactic where feedback and decomposition are valid; do not convert it into an expertise or merit narrative.","source:deliberate-practice-meta | source:feedback-meta","","adult | practice | expertise | contested","inherited"
"pedagogy:deliberate-practice-theory","Deliberate practice theory of expertise","theory","disputed","cognitive | behavioral","music | physical-motor | professional-workplace | general","primary | middle | secondary | postsecondary | adult-workplace","practice | feedback","program-system","Expert performance is claimed to arise from extended, effortful, feedback-rich practice designed to improve specific weaknesses rather than from experience alone.","Practice aimed at a specific deficiency, with immediate feedback and repetition, refines representations that ordinary experience leaves unchanged.","skill development | expertise programmes | coaching design","music practice | sports coaching | professional education","A coach or standard defining the specific deficiency | Immediate informative feedback | Sustained effortful repetition","Accumulated practice explains a minority of performance variance across domains | The strict definition is rarely met by what is labelled deliberate practice | Domains with stable structure fit far better than ill-structured ones","Attributing failure to insufficient practice hours | Meritocratic misuse to dismiss access and opportunity | Labelling ordinary repetition as deliberate practice","Practice quality against the definition; measure=Records of targeted deficiency, feedback received, and performance change, not hours logged; timing=Across a training programme; caveat=Hours accumulated is the weakest possible measure","contested","high","The original framework is influential, but meta-analysis shows accumulated deliberate practice accounts for a modest share of performance variance and varies sharply by domain.","mixed-direct-and-inferential","Best fit in music, chess, and sports; weak in ill-structured professions.","metric=R-squared; note=Roughly 20-25% of variance in music and games, far less in education and professions.","do-not-generalize","Use its design features (specific target, feedback, repetition) and reject the hours-explain-expertise claim.","source:ericsson-deliberate-practice | source:deliberate-practice-meta","","theory | expertise | practice | contested","new"
"pedagogy:desirable-difficulties","Desirable difficulties","principle","established","cognitive","general","primary | middle | secondary | postsecondary | adult-workplace","practice | consolidate | transfer","lesson","Certain conditions that make practice feel harder and slow immediate performance produce better long-term retention and transfer.","Effortful retrieval, varied contexts, and spacing induce reconstruction and richer encoding rather than fluent re-reading of already-available information.","retention | skill maintenance | transfer preparation","practice systems | curriculum scheduling | study strategies","Enough prior knowledge for the difficulty to be surmountable | Feedback and time to recover from errors","Difficulty is only desirable if the learner can still succeed with effort | It reliably depresses in-session performance | Undesirable difficulties (unclear wording, poor access) look identical from the outside","Justifying confusing instruction as productive difficulty | Applying it to struggling learners without support | Judging the design by practice-session performance","Divergence of practice and retention curves; measure=Practice accuracy versus delayed and transfer performance; timing=Practice session plus delayed test; caveat=A design that looks worse during practice may be better; the reverse also happens","strong","high","Convergent evidence across spacing, interleaving, retrieval, and variation studies, plus explicit reviews of the learning-versus-performance distinction.","direct-intervention","Robust for retention outcomes; the specific difficulty must match the learner's competence.","metric=varies by manipulation; note=See spacing, interleaving, and retrieval entries for their own estimates.","candidate-default-with-fit-check","Design for delayed performance, and never read in-session fluency as evidence of learning.","source:bjork-self-regulated | source:soderstrom-bjork | source:dunlosky-techniques","","principle | retention | practice | transfer","new"
"pedagogy:developmental-context-calibration","Developmental and cultural calibration without fixed stages","constraint","established","developmental | critical-equity","general","cross-lifespan","diagnose | access","program-system","Adapt challenge, pacing, language, and support using repeated task evidence within the learner's developmental, cultural, and historical context—not a rigid age-stage gate.","Development and learning interact across biological, cognitive, social, and cultural systems; broadly patterned trajectories still vary substantially.","all learning tasks","all learning environments","Repeated observations | Context and access information | Task-relevant prior-knowledge evidence","Keep hypotheses revisable and task-scoped | Separate chronological age from demonstrated readiness","Fixed developmental-stage routing | Brain-based determinism | Stereotyping groups | Inferring stable traits from one session","Improved fit under adjusted support; measure=Response to hints, pace, strategy, explanation, affect, and transfer across repeated episodes; timing=Across episodes and contexts; caveat=Observed group averages do not license individual capability claims","strong","high","National Academies consensus treats development, culture, context, and individual variability as central to learning.","consensus-design","Cross-lifespan principle; specific adaptations require local evidence.","","candidate-default-with-fit-check","Make age and development contextual priors at most; route on current task evidence and revise.","source:hpl2 | source:adolescent-nasem","","development | culture | lifespan | anti-stereotyping","inherited"
"pedagogy:dialogic-shared-reading","Dialogic shared book reading","tactic","established","developmental | sociocultural","literacy | multilingual","infancy-toddler | preschool","practice | feedback | explain","micro-move","Shifting shared reading so the child becomes the storyteller through prompts, evaluation, expansion, and repetition improves expressive oral language in young children.","Prompted production plus adult expansion gives the child repeated opportunities to use and extend language rather than only to listen.","oral language development | vocabulary growth | early literacy","home partnership | preschool | childcare | one-to-one","Adult trained in the prompting sequence | Books at an appropriate level | Repeated sessions","Effects are largest for younger children and for expressive language | Benefits diminish for older preschoolers and for receptive vocabulary | Adult training quality drives the effect","Turning shared reading into interrogation | Assuming effects extend to later reading comprehension | Reducing quality to number of words spoken","Child talk and expressive language growth; measure=Child utterance length and turns during reading plus standardized expressive language measures; timing=Across weeks of sessions; caveat=Adult talk volume is not the outcome","strong","high","Original randomized studies plus meta-analysis showing consistent expressive-language effects, moderated by child age.","direct-intervention","Strongest for children under about four; smaller for older preschoolers.","metric=d; value=0.4; note=Expressive language effects; smaller for receptive vocabulary and older children.","candidate-default-with-fit-check","High-value, low-cost move for early oral language when the adult is trained in the prompting sequence.","source:whitehurst-dialogic | source:mol-dialogic-meta | source:early-childhood-wwc","","tactic | early-childhood | language | literacy","new"
"pedagogy:differentiated-instruction","Differentiated instruction (within-class)","method","consolidating","instructional-design | critical-equity","general | mathematics | literacy","primary | middle | secondary","diagnose | sequence | access","lesson","Adapting task, pace, or support to assessed within-class differences shows small positive effects, with data-driven and homogeneous-subgroup forms best evidenced.","Matching task demand to assessed current performance keeps more learners in a productive range than a single whole-class task.","mixed-attainment classes | targeted practice | within-class grouping","classroom | small group | adaptive software","Current assessment data at task grain | Genuinely different tasks, not just more or fewer items | Teacher time and materials","Evidence base is thin and definitions vary enormously | Differentiation by fixed learner label is not supported | Curriculum entitlement must not be reduced for lower groups","Permanently lowering expectations for a subgroup | Differentiating by supposed learning style or ability label | Unsustainable teacher workload leading to token differentiation","Growth across all attainment bands; measure=Band-disaggregated growth on common outcomes plus curriculum-coverage audit; timing=Across a term; caveat=Overall gains can hide losses for the lowest band","context-dependent","low","Meta-analytic review finds small positive effects for specific data-driven forms, with weak and inconsistent evidence for differentiation as a general practice.","direct-intervention","Primary and lower-secondary; heavily dependent on how differentiation is operationalized.","","contextual-option","Differentiate on current task evidence with equal curriculum entitlement; never on a stable learner label.","source:deunk-differentiation | source:steenbergen-grouping","","method | adaptive | equity | diagnostic","new"
"pedagogy:digital-natives-myth","Digital natives and effective multitasking","anti-pattern","deprecated","cognitive","digital-environments | general | teacher-development","middle | secondary | postsecondary | adult-workplace","diagnose | explain","program-system","There is no generation with innate digital competence, and no evidence that anyone multitasks without cost; both beliefs lead to withdrawn instruction.","Familiarity with devices is mistaken for information and learning competence; switching costs apply to everyone regardless of age.","digital literacy planning | device policy | technology instruction","classroom | higher education | workplace learning","None; this is a screening criterion","Device familiarity is real and is not the same as information competence | The critique does not argue against technology use, only against assumed competence","Skipping digital and information literacy instruction | Designing on the assumption learners can self-teach the tools | Permitting divided attention on the multitasking myth","Measured digital and information competence; measure=Direct assessment of search, evaluation, and tool competence rather than assumption; timing=Before designing on it; caveat=Confidence with devices does not indicate evaluation skill","refuted","high","Review of the evidence finds no support for either the digital native or the effective-multitasker claim.","mixed-direct-and-inferential","Documented across school and higher education populations.","","avoid","Teach digital and information competence explicitly; never assume it from age.","source:kirschner-digital-native | source:ophir-multitasking | source:kirschner-urban-legends","","anti-pattern | refuted | digital | warning","new"
"pedagogy:disciplinary-literacy","Disciplinary literacy","framework","consolidating","sociocultural | cognitive","literacy | history-social-studies | science | mathematics","middle | secondary | postsecondary","explain | transfer","unit-course","Beyond general comprehension strategies, each discipline has distinct ways of reading, evaluating, and writing that must be taught explicitly at higher levels.","Historians source and corroborate, scientists interrogate method and data, mathematicians read for precision; these are discipline-specific practices, not general strategies.","content-area reading | source evaluation | disciplinary writing","secondary classroom | higher education","Teacher disciplinary expertise | Authentic disciplinary texts | Adequate general reading competence","It supplements rather than replaces foundational literacy | Teacher disciplinary knowledge is the limiting factor | Evidence base is stronger for history than for other disciplines","Applying it before basic comprehension is in place | Generic strategies rebranded as disciplinary | Assuming subject teachers can teach it without support","Discipline-specific reading moves; measure=Think-aloud or annotation analysis on authentic disciplinary texts; timing=Across a unit; caveat=General strategy use is not disciplinary practice","context-dependent","moderate","A well-argued framework with supporting studies, particularly in history; causal evidence across disciplines is uneven.","mixed-direct-and-inferential","Secondary and higher education; history is best evidenced.","","contextual-option","Layer onto adequate general literacy in subjects where the disciplinary practices are well characterized.","source:shanahan-disciplinary | source:wineburg-historical | source:reisman-document-based","","framework | literacy | history | transfer","new"
"pedagogy:dual-coding","Dual coding theory","theory","established","cognitive","general","cross-lifespan","explain | consolidate","micro-move","Verbal and imaginal representations are distinct but connected systems, and information encoded in both is more retrievable than information encoded in one.","Referential connections between a verbal code and an image code create additional retrieval routes and support mental modelling.","concept explanation | vocabulary learning | diagram use","instructional materials | note-taking | study strategies","Content that is genuinely depictable | A diagram that maps to the verbal claim","It is about representation codes, not about learner 'visual' or 'verbal' types | Arbitrary or decorative images add nothing | Redundant on-screen text plus narration can hurt","Being used to justify learning-styles matching | Adding pictures that carry no structural information | Assuming any dual presentation is better","Recall and mental-model quality; measure=Cued recall, diagram completion, and explanation of the depicted relation; timing=After a delay; caveat=Picture recognition can outrun understanding","context-dependent","moderate","Well-established memory theory whose instructional payoff depends on whether the image encodes the target structure.","mixed-direct-and-inferential","Broad for depictable content; not a general rule for all material.","","contextual-option","Pair words with a structurally meaningful representation; never convert it into a learner-type policy.","source:clark-paivio | source:mayer-multimedia-2017","","theory | representation | memory","new"
