"from","type","to","polarity","evidence_status","rationale","source_ids","origin"
"pedagogy:peer-tutoring","complements","pedagogy:one-to-one-tutoring","positive","strong","Peer tutoring extends tutoring benefits at lower marginal cost with more structure required.","source:cohen-tutoring-meta | source:johnson-cooperative","0.2.0"
"pedagogy:physical-activity-and-cognition","complements","pedagogy:executive-function-development","positive","context-dependent","Activity is one of the supports associated with executive function development.","source:donnelly-physical-activity | source:diamond-ling","0.2.0"
"pedagogy:preschool-effects-and-convergence","moderates","pedagogy:early-intentional-practice","conditional","contested","Short-term early gains often converge unless subsequent grades sustain them.","source:durkin-tnvpk | source:heckman-perry","0.2.0"
"pedagogy:pretesting","implements","pedagogy:generation-effect","positive","context-dependent","Pretesting applies generation before rather than after instruction.","source:richland-pretesting | source:metcalfe-errors","0.2.0"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:cognitive-load-design","conditional","strong","The same material imposes different effective demands depending on relevant schemas.","source:hpl2 | source:cognitive-load","0.1.0"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:productive-failure","conditional","context-dependent","Generation before instruction requires enough knowledge to produce interpretable attempts.","source:productive-failure-meta","0.1.0"
"pedagogy:prior-knowledge-diagnostic","moderates","pedagogy:worked-examples-fading","conditional","strong","Examples are most useful for novices and can become redundant as expertise grows.","source:worked-examples-meta | source:cognitive-load","0.1.0"
"pedagogy:prior-knowledge-diagnostic","precedes","pedagogy:expertise-reversal","positive","strong","Diagnosis supplies the knowledge estimate that fading decisions depend on.","source:hpl2 | source:kalyuga-expertise-reversal","0.2.0"
"pedagogy:prior-knowledge-variable","moderates","pedagogy:explicit-direct-instruction","conditional","strong","Explicit guidance is most valuable for novices and should fade with knowledge.","source:kirschner-minimal-guidance | source:rosenshine-principles","0.2.0"
"pedagogy:prior-knowledge-variable","part-of","pedagogy:knowledge-component-model","positive","context-dependent","Component-level knowledge state is the variable the KLI framework models.","source:kli-framework","0.2.0"
"pedagogy:problem-based-learning","contrasts-with","pedagogy:explicit-direct-instruction","conditional","contested","The two favour different outcome types: application versus knowledge coverage.","source:dochy-pbl-meta | source:kirschner-minimal-guidance","0.2.0"
"pedagogy:problem-based-learning","requires","pedagogy:prior-knowledge-variable","positive","contested","Learners need enough prior knowledge to engage the problem productively.","source:kirschner-minimal-guidance | source:dochy-pbl-meta","0.2.0"
"pedagogy:productive-failure","implements","pedagogy:productive-struggle","conditional","context-dependent","Productive failure is a narrower, specified generation-then-consolidation sequence within the broader struggle label.","source:productive-failure-meta","0.1.0"
"pedagogy:productive-struggle","does-not-imply","pedagogy:productive-failure","negative","contested","Observed difficulty is not evidence that a high-fidelity productive-failure design is present.","source:productive-failure-meta","0.1.0"
"pedagogy:project-based-learning","requires","pedagogy:explicit-direct-instruction","positive","context-dependent","Projects need embedded instruction on the knowledge they use.","source:chen-pbl-meta | source:kirschner-minimal-guidance","0.2.0"
"pedagogy:reading-fluency-repeated-reading","requires","pedagogy:systematic-phonics-programme","positive","strong","Fluency practice presumes the decoding skill it automates.","source:therrien-repeated-reading | source:nrp","0.2.0"
"pedagogy:reciprocal-teaching","implements","pedagogy:cooperative-structures","positive","strong","Role transfer through structured dialogue is a cooperative comprehension design.","source:palincsar-brown | source:rosenshine-reciprocal","0.2.0"
"pedagogy:reciprocal-teaching","requires","pedagogy:literacy-phoneme-grapheme","positive","strong","Comprehension dialogue presumes the learner can decode the text.","source:hoover-gough-svr | source:reading-comprehension-wwc","0.2.0"
"pedagogy:reduced-feedback-frequency","implements","pedagogy:learning-vs-performance","positive","strong","The guidance effect is a clean instance of the performance-learning dissociation.","source:winstein-schmidt | source:soderstrom-bjork","0.2.0"
"pedagogy:reduced-feedback-frequency","moderates","pedagogy:actionable-feedback","conditional","strong","Constant feedback improves performance while present and can impair learning.","source:winstein-schmidt | source:soderstrom-bjork","0.2.0"
"pedagogy:rereading-and-highlighting","contrasts-with","pedagogy:retrieval-practice","negative","refuted","The most common study strategies are among the least effective.","source:dunlosky-techniques | source:retrieval-meta","0.2.0"
"pedagogy:rereading-and-highlighting","supports","pedagogy:metacognitive-monitoring-accuracy","conditional","strong","Fluency-based strategies are the main driver of the overconfidence problem.","source:dunlosky-rawson-overconfidence | source:dunlosky-techniques","0.2.0"
"pedagogy:retrieval-practice","complements","pedagogy:spacing","positive","strong","Spaced retrieval combines the retention advantages of distributed encounters and active recall.","source:retrieval-meta | source:spacing-meta","0.1.0"
"pedagogy:rubrics-and-exemplars","supports","pedagogy:peer-assessment","positive","strong","Shared criteria are what make peer feedback specific enough to use.","source:jonsson-rubrics | source:double-peer-assessment","0.2.0"
"pedagogy:schema-based-word-problems","implements","pedagogy:math-systematic-representations","positive","strong","Schema diagrams are systematic representations tied to quantity.","source:jitendra-schema | source:math-intervention-wwc","0.2.0"
"pedagogy:schema-knowledge-organization","supports","pedagogy:transfer-bridging","positive","strong","Organized deep-structure knowledge is what makes transfer possible at all.","source:hpl1 | source:transfer-taxonomy","0.2.0"
"pedagogy:science-argumentation","implements","pedagogy:science-three-dimensional","positive","context-dependent","Argumentation is one of the framework's core science practices.","source:osborne-argumentation | source:science-framework","0.2.0"
"pedagogy:science-three-dimensional","implements","pedagogy:transfer-bridging","conditional","context-dependent","Crosscutting concepts and repeated practices are intended to connect ideas across phenomena and disciplines.","source:science-framework | source:transfer-taxonomy","0.1.0"
"pedagogy:screen-media-young-children","moderates","pedagogy:responsive-language-interaction","negative","context-dependent","Screen use matters mainly through what interaction it displaces.","source:madigan-screen-time | source:hpl2","0.2.0"
"pedagogy:self-assessment","requires","pedagogy:rubrics-and-exemplars","positive","strong","Self-assessment without explicit criteria is unreliable.","source:panadero-self-assessment | source:jonsson-rubrics","0.2.0"
"pedagogy:self-efficacy","part-of","pedagogy:expectancy-value-theory","positive","strong","Task-specific efficacy is the expectancy component in operational form.","source:bandura-self-efficacy | source:eccles-wigfield-2020","0.2.0"
"pedagogy:self-explanation","supports","pedagogy:transfer-bridging","conditional","context-dependent","Explaining deep relations can help abstract structure beyond surface features.","source:ies-study | source:hpl2","0.1.0"
"pedagogy:self-regulation-in-open-online-learning","moderates","pedagogy:blended-online-learning","negative","strong","Removing structure shifts the regulatory burden onto the learner and filters who succeeds.","source:reich-mooc | source:kizilcec-mooc-srl","0.2.0"
"pedagogy:simple-view-of-reading","supports","pedagogy:literacy-phoneme-grapheme","positive","strong","The decoding component is what code instruction targets.","source:hoover-gough-svr | source:castles-reading-wars","0.2.0"
"pedagogy:simulation-based-mastery-learning","implements","pedagogy:deliberate-practice-theory","positive","context-dependent","Clinical mastery training uses the deliberate-practice design features.","source:mcgaghie-simulation | source:ericsson-deliberate-practice","0.2.0"
"pedagogy:simulation-based-mastery-learning","implements","pedagogy:mastery-learning","positive","strong","Clinical simulation mastery training is mastery learning in a professional domain.","source:mcgaghie-simulation | source:kulik-mastery","0.2.0"
"pedagogy:simulations-virtual-labs","implements","pedagogy:guided-inquiry","positive","context-dependent","Simulations work when the investigation is guided and debriefed.","source:dejong-simulations | source:lazonder-harmsen","0.2.0"
"pedagogy:sleep-and-consolidation","moderates","pedagogy:spacing","positive","strong","Sleep between spaced sessions is part of what consolidates the learning.","source:diekelmann-born-sleep | source:spacing-meta","0.2.0"
"pedagogy:social-emotional-learning","supports","pedagogy:classroom-climate","positive","strong","SEL programmes act partly through improved climate and relationships.","source:durlak-sel | source:wang-degol-climate","0.2.0"
"pedagogy:sociocultural-zpd","supports","pedagogy:contingent-scaffolding","positive","context-dependent","Scaffolding is the instructional operationalization of the zone.","source:scaffolding-review | source:hpl2","0.2.0"
"pedagogy:socioeconomic-context","moderates","pedagogy:one-to-one-tutoring","conditional","strong","Intensive support shows the largest gains where opportunity has been most constrained.","source:dietrichson-low-ses | source:cohen-tutoring-meta","0.2.0"
"pedagogy:spaced-repetition-scheduling","implements","pedagogy:spacing","positive","strong","Scheduling algorithms operationalize the spacing effect for large item sets.","source:spacing-meta | source:kerfoot-spaced-education","0.2.0"
"pedagogy:spacing","complements","pedagogy:interleaving-discrimination","conditional","context-dependent","Interleaving often spaces each category, though its distinctive target is discrimination and strategy selection.","source:interleaving-meta | source:spacing-meta","0.1.0"
"pedagogy:spatial-skills-training","complements","pedagogy:early-number-magnitude","positive","context-dependent","Spatial and magnitude representations are related early mathematical foundations.","source:uttal-spatial-training | source:early-math-nrc","0.2.0"
"pedagogy:stereotype-threat","moderates","pedagogy:assessment-fair-access","conditional","contested","Identity-relevant framing is one of several construct-irrelevant threats in assessment.","source:flore-stereotype-meta | source:testing-standards","0.2.0"
"pedagogy:structured-collaboration","implements","pedagogy:icap-engagement-hypothesis","conditional","hypothesis","Substantive co-construction may instantiate interactive engagement; mere group seating does not.","source:icap | source:collaboration-meta","0.1.0"
"pedagogy:study-skills-programs","requires","pedagogy:transfer-bridging","positive","strong","Detached strategy courses fail precisely because conditions of use are not taught.","source:hattie-study-skills | source:transfer-taxonomy","0.2.0"
"pedagogy:summarization-training","contrasts-with","pedagogy:retrieval-practice","negative","context-dependent","Summarization is rated low utility relative to practice testing.","source:dunlosky-techniques | source:retrieval-meta","0.2.0"
"pedagogy:system-resource-tradeoffs","complements","pedagogy:socioeconomic-context","positive","strong","Resource decisions are where opportunity gaps are either narrowed or reproduced.","source:dietrichson-low-ses | source:sirin-ses-meta","0.2.0"
"pedagogy:system-resource-tradeoffs","moderates","pedagogy:instructional-coaching","conditional","context-dependent","Teacher effects are large enough that improving teaching is usually a better buy than structural change.","source:nye-teacher-effects | source:kraft-coaching","0.2.0"
"pedagogy:system-resource-tradeoffs","moderates","pedagogy:one-to-one-tutoring","conditional","context-dependent","Intensive tutoring competes for the same budget as structural levers with smaller effects.","source:eef-toolkit | source:filges-class-size | source:cohen-tutoring-meta","0.2.0"
"pedagogy:systematic-phonics-programme","does-not-imply","pedagogy:reading-comprehension-knowledge","conditional","strong","Word-reading gains are much larger than comprehension gains.","source:ehri-phonics-meta | source:castles-reading-wars","0.2.0"
"pedagogy:systematic-phonics-programme","implements","pedagogy:literacy-phoneme-grapheme","positive","strong","A systematic programme is the planned delivery of phoneme-grapheme mapping.","source:ehri-phonics-meta | source:literacy-wwc","0.2.0"
"pedagogy:task-based-language-teaching","complements","pedagogy:instructed-second-language-acquisition","conditional","context-dependent","Tasks supply the meaningful use that explicit form focus needs to attach to.","source:bryfonski-tblt | source:norris-ortega","0.2.0"
"pedagogy:teacher-expectancy","moderates","pedagogy:differentiated-instruction","negative","context-dependent","Differentiation can encode low expectations as reduced curriculum access.","source:jussim-harber | source:steenbergen-grouping","0.2.0"
"pedagogy:test-enhanced-transfer-limits","moderates","pedagogy:retrieval-practice","conditional","strong","Retrieval benefits retention far more reliably than transfer.","source:pan-rickard-transfer | source:retrieval-meta","0.2.0"
"pedagogy:text-structure-instruction","implements","pedagogy:reading-comprehension-knowledge","positive","strong","Structure instruction is one evidence-rated comprehension practice.","source:reading-comprehension-wwc | source:adolescent-literacy-wwc","0.2.0"
"pedagogy:threshold-concepts","complements","pedagogy:conceptual-change","positive","hypothesis","Both describe reorganization of understanding rather than accumulation of facts.","source:meyer-threshold | source:vosniadou-conceptual-change","0.2.0"
"pedagogy:tpack","complements","pedagogy:blended-online-learning","conditional","context-dependent","Tool choice is only defensible relative to content and pedagogical purpose.","source:mishra-tpack | source:bernard-distance","0.2.0"
"pedagogy:training-design-effectiveness","requires","pedagogy:transfer-of-training","positive","strong","Design quality is insufficient without a supportive transfer environment.","source:arthur-training-meta | source:blume-transfer-meta","0.2.0"
"pedagogy:transfer-of-training","implements","pedagogy:transfer-bridging","positive","strong","Workplace transfer is the organizational instance of the transfer problem.","source:baldwin-ford | source:transfer-taxonomy","0.2.0"
"pedagogy:transformative-learning","complements","pedagogy:andragogy","positive","hypothesis","Both are adult-education frameworks with design value and weak causal evidence.","source:mezirow-transformative | source:merriam-adult-theory","0.2.0"
"pedagogy:udl-options","complements","pedagogy:accessibility-by-design","conditional","contested","Proactive options may reduce barriers but do not replace WCAG conformance, accommodations, or assistive technology.","source:udl-review | source:wcag22","0.1.0"
"pedagogy:udl-options","implements","pedagogy:accessibility-by-design","conditional","normative-standard","UDL operationalizes access as design options; conformance standards remain the floor beneath it.","source:udl-guidelines | source:wcag22 | source:unesco-inclusion","0.2.0"
"pedagogy:utility-value-intervention","implements","pedagogy:expectancy-value-theory","positive","context-dependent","The intervention manipulates the value term directly.","source:hulleman-utility-value | source:eccles-wigfield-2020","0.2.0"
"pedagogy:variation-theory","complements","pedagogy:analogical-case-comparison","positive","hypothesis","Both concern what must vary across examples for a critical feature to be discerned.","source:kullberg-variation | source:gentner-analogical","0.2.0"
"pedagogy:wait-time","supports","pedagogy:checking-for-understanding","positive","context-dependent","Extending think time changes who can answer the checking question.","source:rowe-wait-time | source:rosenshine-principles","0.2.0"
"pedagogy:worked-examples-fading","complements","pedagogy:self-explanation","conditional","context-dependent","Explanation can focus attention on solution decisions, but prompts must be accurate and proportionate.","source:worked-examples-meta | source:icap","0.1.0"
"pedagogy:worked-examples-fading","should-fade-into","pedagogy:retrieval-practice","positive","context-dependent","As knowledge grows, learners need to retrieve and generate rather than continue copying full solutions.","source:worked-examples-meta | source:retrieval-meta","0.1.0"
"pedagogy:working-memory-capacity","part-of","pedagogy:cognitive-load-theory","positive","strong","Capacity limits are the theory's central constraint.","source:sweller-1988 | source:cognitive-load","0.2.0"
"pedagogy:writing-model-practice-reflect","implements","pedagogy:worked-examples-fading","conditional","context-dependent","Teacher modeling and mentor texts externalize decisions before support fades toward independent writing.","source:writing-wwc | source:worked-examples-meta","0.1.0"
"pedagogy:writing-model-practice-reflect","requires","pedagogy:actionable-feedback","positive","strong","Writers need usable information and revision opportunities to refine decisions.","source:writing-wwc | source:feedback-meta","0.1.0"
"pedagogy:writing-strategy-instruction","implements","pedagogy:writing-model-practice-reflect","positive","strong","Strategy instruction is the highest-effect form of the model-practice-reflect cycle.","source:graham-elementary-writing | source:writing-wwc","0.2.0"
