"id","label","kind","summary","mechanism","learner_stages","task_types","contexts","prerequisites","constraints","risks","observable_evidence","evidence_status","evidence_confidence","evidence_basis","directness","generalizability","recommendation_status","recommendation_rationale","source_ids","tags"
"pedagogy:developmental-context-calibration","Developmental and cultural calibration without fixed stages","constraint","Adapt challenge, pacing, language, and support using repeated task evidence within the learner's developmental, cultural, and historical context—not a rigid age-stage gate.","Development and learning interact across biological, cognitive, social, and cultural systems; broadly patterned trajectories still vary substantially.","infancy | early-childhood | K-12 | adult | older-adult","all learning tasks","all learning environments","Repeated observations | Context and access information | Task-relevant prior-knowledge evidence","Keep hypotheses revisable and task-scoped | Separate chronological age from demonstrated readiness","Fixed developmental-stage routing | Brain-based determinism | Stereotyping groups | Inferring stable traits from one session","Improved fit under adjusted support; measure=Response to hints, pace, strategy, explanation, affect, and transfer across repeated episodes; timing=Across episodes and contexts; caveat=Observed group averages do not license individual capability claims","strong","high","National Academies consensus treats development, culture, context, and individual variability as central to learning.","consensus-design","Cross-lifespan principle; specific adaptations require local evidence.","candidate-default-with-fit-check","Make age and development contextual priors at most; route on current task evidence and revise.","source:hpl2 | source:adolescent-nasem","development | culture | lifespan | anti-stereotyping"
"pedagogy:adolescent-agency","Adolescent agency, identity, and flexible pathways","principle","Offer adolescents meaningful bounded choices, supportive relationships, reflection, and pathways connected to interests, identity, and purpose.","Increasing capacities for abstract reasoning, decision-making, and identity formation can be channeled by authentic agency and relational safety.","adolescent | emerging-adult","project | transition | goal setting | community problem","secondary school | community learning | career exploration","Authentic choices | Safe supportive relationships | Differentiated pace and access","Keep instruction and scaffolding available | Respect within-age variability","Token choice | Treating adolescents only as risk | Assuming independence without support | Neuromyths","Purposeful agency with learning progress; measure=Choice rationale, goal revision, belonging, persistence, decision quality, and project/reflection artifact; timing=Across a meaningful project or transition; caveat=Agency should not be inferred from compliance or option clicking","context-dependent","moderate","National Academies consensus recommendations; specific program effects remain implementation-dependent.","consensus-design","Roughly ages 10-25 with high individual and contextual variability.","contextual-option","Pair meaningful choice with relationships, competence support, and observable learning goals.","source:adolescent-nasem | source:hpl2","adolescent | agency | identity | motivation"
"pedagogy:accessibility-by-design","Accessibility by design","constraint","Make learning content and interaction perceivable, operable, understandable, and robust across sensory, motor, and cognitive access needs.","Semantic structure, alternatives, captions, keyboard access, visible focus, contrast, and predictable interaction remove barriers before learning can occur.","early-childhood | K-12 | adult | older-adult","digital learning | media | document | assessment","web | app | slides | remote learning","Semantic structure | Assistive-technology compatibility | Human testing with affected users","WCAG conformance is a floor, not proof of usability or learning | Retain individualized accommodations","Automated conformance treated as completion | Inaccessible fallback path | Alternative format changing the construct","Equivalent task access; measure=WCAG checks, keyboard and screen-reader completion, captions, errors, abandonment, and learner-reported barriers; timing=During design and after deployment; caveat=Accessibility enables participation but does not itself prove learning effectiveness","normative-standard","high","W3C international technical standard; learning gains require separate study.","normative","Digital content and interaction for all ages.","candidate-default-with-fit-check","Treat access as a prerequisite and verify with both conformance tests and real task completion.","source:wcag22 | source:testing-standards","accessibility | digital | standard | equity"
"pedagogy:udl-options","Universal Design for Learning options","framework","Proactively offer options for engagement, representation, and action or expression while preserving common goals and needed individualized access.","Options may reduce predictable barriers and support agency, but UDL is a multicomponent framework whose active ingredients and fidelity are often unclear.","early-childhood | K-12 | adult","lesson design | curriculum design | assessment design","in-person | digital | hybrid","Clear common learning goal | Checkpoint-level rationale and fidelity data | Accessibility and accommodation plan","Preserve construct alignment | Limit option overload | Analyze effects by component and learner group","Learning-styles matching | Substituting UDL for accommodations or assistive technology | Attributing a package effect to undefined implementation","Barrier reduction without construct drift; measure=Option uptake, access, participation, fidelity by checkpoint, objective outcomes, and subgroup evidence; timing=Across implementation; caveat=A UDL label without component detail is not a reproducible intervention","contested","moderate","Systematic review found uneven framework alignment, overlapping components, and insufficient theoretical and implementation detail.","mixed-direct-and-inferential","Promising design framework; whole-package causal effects are not established broadly.","do-not-generalize","Use checkpoint-level options as testable design hypotheses, not as proof that a UDL-branded package improves learning.","source:udl-review | source:wcag22","accessibility | UDL | options | contested"
"pedagogy:literacy-phoneme-grapheme","Explicit phoneme-grapheme mapping","tactic","Explicitly connect speech segments to letters and practice blending, segmenting, decoding, and encoding.","Stable mappings between phonemes and graphemes support accurate decoding of unfamiliar words and spelling rather than contextual guessing.","early-childhood | primary | older struggling reader","beginning reading | word reading | spelling","classroom | intervention | multilingual literacy","Access to oral language in a known language | Explicit cumulative sequence | Practice connected to print","Pair code instruction with oral language, knowledge, fluency, and comprehension | Adapt for language and disability access","Isolating oral phoneme drills indefinitely from print | Treating decoding as complete reading instruction | Guessing from pictures or context as a decoding substitute","Accurate mapping and transfer to unfamiliar print; measure=Segmentation, blending, letter-sound accuracy, pseudoword or unfamiliar-word reading, spelling, and error-type shift; timing=Across cumulative lessons and on novel words; caveat=Memorized word lists can mask weak decoding","strong","high","IES/WWC evidence-rated foundational-reading practice guide.","direct-intervention","Beginning readers and older learners with decoding gaps; language system and learner needs matter.","candidate-default-with-fit-check","Use explicit cumulative mapping when diagnostic evidence indicates an alphabetic decoding need.","source:literacy-wwc","literacy | reading | decoding | early-primary"
"pedagogy:reading-comprehension-knowledge","Reading comprehension through strategy, structure, language, and knowledge","principle","Teach a small set of comprehension strategies and text structures while building vocabulary, oral language, and topic knowledge through purposeful texts and discussion.","Strategies direct monitoring and inference; structure supports organization and recall; vocabulary and knowledge supply meanings needed to build a situation model.","primary | secondary | adult literacy","reading to learn | narrative comprehension | informational text","literacy block | content area | intervention","Text accessible enough for the learner | Relevant language and decoding support | Purposeful strategy selection","Do not replace rich knowledge building with generic strategy worksheets | Measure comprehension on unfamiliar texts","Strategy overload | Conflating word-reading errors with comprehension | Using culturally narrow background assumptions as ability evidence","Coherent text meaning and monitored understanding; measure=Retell or explanation, text-structure use, inference, vocabulary in context, and comprehension on a new text; timing=During guided reading and on independent transfer; caveat=Answering rehearsed questions on one passage is a narrow measure","strong","high","IES/WWC rates comprehension strategy instruction strong and text-structure instruction moderate, with additional contextual recommendations.","direct-intervention","Early reading comprehension; extend with age- and discipline-appropriate evidence.","candidate-default-with-fit-check","Integrate strategy, language, knowledge, text structure, and authentic meaning-making.","source:reading-comprehension-wwc | source:ell-wwc","literacy | reading | comprehension | knowledge"
"pedagogy:academic-language-multilingual","Academic language integrated with content for multilingual learners","tactic","Provide repeated meaningful encounters and productive use of high-utility academic language within grade-level disciplinary content.","Speaking, reading, and writing connect language forms to disciplinary concepts across multiple contexts and representations.","primary | secondary | adult","content learning | academic reading | disciplinary writing","multilingual classroom | content area","Selected high-utility language | Structured oral interaction | Attention to home-language and cultural knowledge","Maintain access to grade-level ideas | Distinguish language proficiency from content understanding","Decontextualized vocabulary replacing content | Deficit assumptions about multilingual learners | Assessment language obscuring the construct","Meaningful language use across modes and tasks; measure=Understanding and production in speaking, reading, writing, and novel content application; timing=Across repeated encounters and a new disciplinary task; caveat=English surface fluency is not a complete measure of disciplinary understanding","strong","high","IES/WWC evidence-rated guidance supports intensive academic vocabulary and integrated oral and written language in content teaching.","direct-intervention","Elementary and middle-school English learners; adapt to language histories and disciplines.","candidate-default-with-fit-check","Build academic language through authentic disciplinary use while preserving content rigor and multilingual assets.","source:ell-wwc | source:hpl2","literacy | multilingual | language | equity"
"pedagogy:writing-model-practice-reflect","Writing through model, practice, feedback, and reflection","tactic","Model planning, drafting, and revising decisions; guide practice; provide actionable feedback; and fade support toward purposeful independent writing.","Modeling externalizes expert decisions, guided practice builds control, and reflection supports strategy selection across genres and disciplines.","upper-primary | secondary | adult","argument | explanation | narrative | disciplinary writing","language arts | content area | professional communication","Clear audience, purpose, and criteria | Representative mentor texts | Opportunity for revision","Practice across varied tasks for transfer | Preserve rhetorical choice while teaching strategies","Formulaic checklists suppressing purpose | Surface imitation of mentor texts | Feedback without revision time","Independent purposeful writing decisions; measure=Plan, draft, revision quality, strategy choice, rubric dimensions, and transfer to a new genre; timing=Across drafts and a later independent composition; caveat=A polished teacher-supported draft does not establish independent control","strong","high","IES/WWC rates the Model-Practice-Reflect strategy strongly and reading-writing integration moderately.","direct-intervention","Secondary writing across disciplines; adapt for younger and adult writers.","candidate-default-with-fit-check","Use explicit cognitive apprenticeship with real revision and eventual independent writing.","source:writing-wwc | source:feedback-meta","writing | modeling | feedback | metacognition"
"pedagogy:early-math-progression","Early mathematics through flexible developmental progressions","framework","Sequence tasks from informal quantity knowledge toward counting, cardinality, operations, geometry, patterns, measurement, and data while building on observation.","A progression connects new mathematical language and representations to current strategies and increasingly general relations.","early-childhood | early-primary","number | operations | shape | pattern | measurement","preschool | kindergarten | playful routine","Diagnostic observation | Mathematically meaningful conversation | Developmentally suitable tasks and representations","Progressions are models, not rigid age stages | Integrate mathematics throughout the day without replacing play","Acceleration without conceptual grounding | Age-based gating | Counting routines without cardinal meaning","Strategy progression and mathematical language; measure=Quantity comparison, counting/cardinality, decomposition, operations, explanation, and transfer to a new representation; timing=Across repeated authentic tasks; caveat=Chronological age does not determine a single pathway","context-dependent","high","IES/WWC rates number-and-operations progression moderate; other areas and progress monitoring have more limited direct evidence.","direct-intervention","Preschool through kindergarten; evidence strength differs by strand.","contextual-option","Use progressions as revisable task maps informed by current strategies, not fixed learner stages.","source:early-math-wwc | source:early-childhood-wwc","mathematics | early-childhood | progression | development"
"pedagogy:math-systematic-representations","Systematic mathematical language and representation","tactic","Use explicit cumulative instruction to link precise mathematical language, quantities, selected visual or concrete models, and symbols.","Stable mappings among language, quantity, diagrams, and notation reduce ambiguity and build both conceptual and procedural access.","primary | secondary","arithmetic | fractions | word problems | algebra readiness","core instruction | targeted intervention","Diagnosis of the current mathematical bottleneck | A coherent limited representation set | Modeled and guided practice","Explain how each representation maps to the abstraction | Fade models when independent reasoning is ready","Too many competing models | Manipulatives becoming procedures without meaning | Language demands hiding mathematical knowledge","Conceptual and procedural mapping across forms; measure=Explanation, translation among representations, procedural accuracy, and generalization; timing=During intervention and on a novel representation; caveat=Successful manipulation without explaining the mathematical relation is insufficient","strong","high","IES/WWC rates systematic instruction, mathematical language, and selected representations strongly for elementary intervention.","direct-intervention","Elementary learners struggling with mathematics; adapt model and language to content.","candidate-default-with-fit-check","Use a coherent representation system tied explicitly to language, symbols, and independent reasoning.","source:math-intervention-wwc | source:ies-study","mathematics | representation | intervention | language"
"pedagogy:math-strategy-comparison","Mathematical strategy and error comparison","tactic","Compare correct, incomplete, or incorrect solutions and alternative strategies to make structural decisions and errors explicit.","Side-by-side comparison directs attention to when and why a method works and can build procedural flexibility and diagnostic reasoning.","upper-primary | secondary | adult","algebra | problem solving | error diagnosis","worked-example discussion | small group | practice set","Enough baseline knowledge to understand candidate strategies | Prompts requiring explanation | Subsequent independent solving","Use active comparison rather than passive inspection | Match complexity to prior knowledge","Mixed or negative effects for learners without baseline knowledge | Confusing exposure to an error with understanding it | Overloading novices with too many methods","Flexible, justified method choice and error repair; measure=Detect and correct error, generate another solution, select an efficient first step, justify choice, and transfer; timing=After comparison and on a new problem; caveat=Gains may appear in flexibility without uniform concept or procedure gains","context-dependent","moderate","IES algebra guide rates multiple-strategy comparison moderate; solved-problem analysis evidence is minimal and mixed.","direct-intervention","Best after initial procedural footholds in algebra and related mathematics.","contextual-option","Retrieve after diagnosing sufficient baseline knowledge and require explanation plus independent transfer.","source:algebra-wwc | source:worked-examples-meta","mathematics | comparison | error | flexibility"
"pedagogy:science-three-dimensional","Three-dimensional science learning","framework","Integrate disciplinary core ideas, crosscutting concepts, and scientific or engineering practices around phenomena and problems.","Using ideas in modeling, investigation, data analysis, explanation, and argument makes scientific knowledge coherent, revisable, and connected across contexts.","primary | secondary","scientific explanation | modeling | investigation | engineering design","K-12 science curriculum | assessment | informal science","Coherent grade-band progression | Sufficient core knowledge | Access to phenomena or data | Norms for evidence and critique","Depth over disconnected breadth | Integrate practices with concepts rather than activity alone","Unguided discovery | Activity-only inquiry | Polished model accepted without evidence or revision trace | Treating a consensus framework as one causal intervention","Evidence-based model or explanation revision; measure=Model adequacy, data interpretation, claim-evidence-reasoning, argument response, and cross-context application; timing=Across investigation and after anomalous evidence; caveat=Framework alignment is not itself proof of effectiveness","context-dependent","high","Authoritative National Research Council consensus framework grounded in learning research; enactment effects vary.","consensus-design","K-12 science and engineering; this is a normative curricular framework, not an effect estimate.","contextual-option","Use as a domain design framework with explicit knowledge scaffolds and evidence-producing practices.","source:science-framework | source:hpl2","science | inquiry | modeling | argumentation"
"pedagogy:computing-practices","Computational practices: decompose, abstract, test, refine, communicate","framework","Have learners recognize and decompose problems, develop abstractions and artifacts, test and refine them, and communicate design decisions and impacts.","Executable or inspectable artifacts make algorithms and representations testable; debugging supplies feedback for iterative model revision.","primary | secondary | adult novice","programming | data | systems | computational problem solving","K-12 computing | maker activity | introductory coding","Accessible tools | Examples and domain concepts | Explicit testing and debugging norms | Equitable participation structures","Assess reasoning and revision, not artifact completion alone | Include sociotechnical impacts and accessibility","Code production masking misconceptions | Nominal group work masking unequal participation | Treating a curricular framework as a causal intervention","Traceable computational reasoning and refinement; measure=Decomposition, abstraction, test cases, bug localization, revision, explanation, participation, and impact analysis; timing=Across artifact iterations and on a new problem; caveat=A working artifact can be copied or produced without conceptual understanding","context-dependent","moderate","Authoritative multi-organization curricular framework; intervention effectiveness depends on pedagogy and implementation.","consensus-design","K-12 computer science; adapt evidence for adult computing contexts.","contextual-option","Use the practices to elicit inspectable reasoning, with examples, debugging feedback, accessibility, and individual evidence.","source:cs-framework | source:worked-examples-meta","computing | debugging | artifact | collaboration"
"pedagogy:adult-self-directed-learning","Supported adult self-directed learning","principle","Give adults meaningful control over goals and resources when readiness, domain knowledge, time, feedback, and workplace support make self-direction viable.","Goal setting, resource selection, monitoring, and authentic application can align learning with professional needs, but these capacities are not guaranteed by age.","adult | older-adult","professional learning | continuing education | workplace problem","workplace | health professions | online course","Sufficient domain and metacognitive skill | Reliable resources | Feedback | Protected time | Supportive work environment","Combine choice with scaffolds and access | Measure workplace generalization and maintenance","Assuming all adults are inherently self-directed | Offloading instructional responsibility | Ignoring culture, power, access, aging, or workplace climate","Independent regulation and authentic transfer; measure=Goal quality, calibration, strategy and resource changes, objective skill, workplace behavior, and maintenance; timing=Across learning and later work performance; caveat=Satisfaction and completion alone do not establish learning or transfer","context-dependent","moderate","National Academies lifespan synthesis supports active engagement and self-regulation while warning that age, context, and support matter.","mixed-direct-and-inferential","Adult and workplace learning; domain-specific intervention evidence is heterogeneous.","contextual-option","Route on readiness and context evidence, never adult age alone.","source:hpl2 | source:metacognition-meta | source:transfer-taxonomy","adult | self-direction | workplace | metacognition"
"pedagogy:deliberate-practice-bounds","Deliberate practice with bounded claims","tactic","Use specific stretch goals, focused repetitions, informative feedback, and error correction for stable decomposable skills—without claiming practice alone explains expertise.","Repeated attention to a well-defined weakness plus valid feedback supports error reduction and refinement.","secondary | adult","stable decomposable skill | performance refinement","coaching | professional training | music | sport | technical skill","Valid performance standard | Reliable feedback or coaching | Manageable subskill | Recovery and motivation plan","Distinguish focused practice from rote repetition | Report access and opportunity differences","Burnout | Inequitable access to coaching | Overclaiming practice as the dominant cause of expertise | Narrow optimization harming transfer","Targeted objective performance improvement; measure=Error reduction, criterion performance, retention, transfer, and assistance needed over sessions; timing=Across spaced sessions and delayed check; caveat=Hours practiced are not equivalent to deliberate practice quality","contested","moderate","Meta-analysis supports practice as one contributor with sharply varying explained variance across domains, not a dominant universal account.","mixed-direct-and-inferential","Most plausible in stable domains with objective standards and coaching.","do-not-generalize","Use the tactic where feedback and decomposition are valid; do not convert it into an expertise or merit narrative.","source:deliberate-practice-meta | source:feedback-meta","adult | practice | expertise | contested"
"pedagogy:delayed-transfer-assessment","Delayed, varied, and transfer-oriented assessment","tactic","Assess after delay, with changed surface features or context, and report near, far, cued, and uncued outcomes separately.","Delay reveals forgetting; variation tests whether knowledge is accessible beyond the practiced representation; uncued tasks test spontaneous recognition.","primary | secondary | adult","retention | generalization | workplace transfer","classroom | training | evaluation","Pre-specified retention horizon and transfer distance | Construct-aligned tasks | Comparable access conditions","Do not collapse near and far transfer | Report assistance and cueing | Use multiple observations for consequential claims","Equating immediate performance with learning | Claiming far transfer from isomorphic items | Ignoring maintenance and context support","Durable independent use; measure=Delayed retention, near/far task, representation change, uncued application, and maintenance; timing=At meaningful delayed intervals and in a new context; caveat=Transfer distance is multidimensional and must be described, not merely labeled","context-dependent","high","Learning and transfer syntheses establish delay, cueing, similarity, and context as material dimensions of the outcome.","mixed-direct-and-inferential","Across domains; valid task design remains domain-specific.","candidate-default-with-fit-check","Use as the default verification complement to immediate performance when retention or transfer is claimed.","source:transfer-taxonomy | source:spacing-meta | source:assessment-nrc","assessment | retention | transfer | measurement"
